Time,Heart_beat, Speed
1422186924.000000,168,2.867000
1422186929.000000,166,2.561000
1422186935.000000,165,2.649000
1422186940.000000,166,2.784000
1422186945.000000,168,2.762000
1422186950.000000,170,2.871000
1422186956.000000,170,3.040000
1422186961.000000,170,3.042000
1422186967.000000,170,2.973000
1422186973.000000,171,3.009000
1422186980.000000,169,3.096000
1422186985.000000,168,3.070000
1422186990.000000,168,3.045000
1422186995.000000,168,3.140000
1422187001.000000,168,3.104000
1422187008.000000,168,2.981000
1422187015.000000,168,2.834000
1422187022.000000,167,2.849000
1422187023.000000,167,2.838000
1422187027.000000,165,2.847000
1422187033.000000,165,2.544000
1422187038.000000,166,2.443000
1422187043.000000,166,2.479000
1422187048.000000,166,2.476000
1422187049.000000,166,2.415000
1422187053.000000,165,2.295000
1422187056.000000,165,2.235000
1422187059.000000,163,2.126000
1422187064.000000,162,2.147000
1422187069.000000,165,2.323000
1422187072.000000,164,2.488000
1422187078.000000,166,2.729000
1422187082.000000,167,2.966000
1422187086.000000,168,3.159000
1422187087.000000,168,3.123000
1422187093.000000,168,3.172000
1422187098.000000,169,3.248000
1422187103.000000,170,3.263000
1422187110.000000,170,3.164000
1422187115.000000,170,3.203000
1422187121.000000,172,3.202000
1422187127.000000,171,3.054000
1422187133.000000,172,2.852000
1422187139.000000,169,2.681000
1422187141.000000,168,2.640000
1422187146.000000,167,2.507000
1422187152.000000,167,2.462000
1422187158.000000,166,2.551000
1422187164.000000,164,2.598000
1422187171.000000,165,2.665000
1422187177.000000,166,2.639000
1422187183.000000,165,2.592000
1422187185.000000,166,2.574000
1422187189.000000,165,2.411000
1422187194.000000,162,0.114000
1422187195.000000,162,0.175000
1422187197.000000,158,0.000000
1422187199.000000,156,0.105000
1422187203.000000,153,0.104000
1422187207.000000,150,0.074000
1422187211.000000,147,-1.000000
1422187212.000000,146,0.241000
1422187216.000000,143,0.000000
1422187220.000000,140,0.089000
1422187221.000000,140,0.000000
1422187227.000000,137,0.124000
1422187229.000000,134,0.000000
1422187231.000000,131,0.000000
1422187233.000000,131,0.245000
1422187235.000000,135,0.756000
1422187236.000000,138,1.036000
1422187237.000000,140,1.379000
1422187239.000000,144,1.897000
1422187242.000000,146,2.597000
1422187248.000000,148,2.957000
1422187253.000000,150,2.523000
1422187258.000000,153,2.580000
1422187263.000000,155,2.871000
1422187268.000000,158,3.055000
1422187273.000000,159,3.033000
1422187278.000000,159,2.843000
1422187282.000000,155,2.594000
1422187284.000000,151,2.547000
1422187289.000000,153,2.486000
1422187292.000000,156,2.604000
1422187295.000000,159,2.680000
1422187299.000000,161,2.769000
1422187303.000000,161,2.397000
1422187307.000000,158,0.260000
1422187308.000000,157,0.000000
1422187312.000000,154,0.000000
1422187314.000000,151,0.078000
1422187315.000000,151,0.076000
1422187319.000000,151,0.586000
1422187322.000000,154,1.399000
1422187324.000000,154,1.930000
1422187330.000000,153,3.212000
1422187336.000000,154,2.969000
1422187341.000000,157,2.818000
1422187343.000000,158,2.800000
1422187344.000000,158,2.825000
1422187346.000000,159,2.970000
1422187352.000000,160,3.291000
1422187353.000000,160,3.311000
1422187355.000000,159,3.358000
1422187357.000000,160,3.313000
1422187362.000000,160,3.066000
1422187366.000000,161,2.680000
1422187369.000000,162,2.629000
1422187370.000000,162,2.688000
1422187373.000000,164,2.711000
1422187375.000000,165,2.785000
1422187378.000000,166,2.777000
1422187380.000000,166,2.800000
1422187387.000000,167,2.872000
1422187390.000000,167,3.068000
1422187391.000000,168,3.140000
1422187396.000000,170,3.542000
1422187397.000000,171,3.609000
1422187401.000000,173,4.016000
1422187402.000000,174,4.096000
1422187407.000000,176,4.241000
1422187408.000000,176,4.216000
1422187413.000000,176,4.007000
1422187417.000000,176,3.780000
1422187423.000000,175,3.405000
1422187430.000000,174,2.864000
1422187434.000000,172,2.743000
1422187435.000000,171,2.648000
1422187438.000000,171,2.644000
1422187439.000000,170,2.615000
1422187444.000000,170,2.387000
1422187449.000000,171,2.332000
1422187454.000000,171,2.490000
1422187459.000000,169,2.723000
1422187466.000000,167,3.029000
1422187473.000000,166,2.833000
1422187478.000000,166,2.698000
1422187484.000000,166,2.803000
1422187491.000000,166,2.797000
1422187494.000000,167,2.671000
1422187497.000000,167,2.596000
1422187503.000000,167,2.497000
1422187508.000000,169,2.516000
1422187515.000000,168,2.697000
1422187520.000000,168,2.775000
1422187525.000000,168,2.915000
1422187529.000000,168,2.876000
1422187534.000000,167,2.986000
1422187538.000000,167,3.108000
1422187539.000000,167,3.098000
1422187545.000000,166,3.140000
1422187552.000000,166,2.973000
1422187553.000000,166,2.949000
1422187558.000000,167,2.946000
1422187561.000000,166,2.824000
1422187562.000000,166,2.760000
1422187564.000000,166,2.660000
1422187565.000000,165,2.632000
1422187568.000000,165,2.468000
1422187572.000000,162,2.420000
1422187573.000000,162,2.440000
1422187578.000000,163,2.544000
1422187584.000000,163,2.780000
1422187589.000000,162,2.746000
1422187591.000000,162,2.754000
1422187595.000000,162,2.620000
1422187598.000000,162,2.742000
1422187601.000000,163,2.818000
1422187606.000000,165,3.043000
1422187607.000000,165,2.969000
1422187609.000000,166,2.895000
1422187611.000000,166,2.945000
1422187615.000000,167,3.059000
